Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 3551,Australia,South Africa,Australia,2 wickets,Sydney,"Nov 23, 2014"
ODI # 3552,Bangladesh,Zimbabwe,Bangladesh,68 runs,Chittagong,"Nov 23, 2014"
ODI # 3553,Bangladesh,Zimbabwe,Bangladesh,124 runs,Dhaka,"Nov 26, 2014"
ODI # 3554,Sri Lanka,England,Sri Lanka,25 runs,Colombo (RPS),"Nov 26, 2014"
ODI # 3555,Bangladesh,Zimbabwe,Bangladesh,21 runs,Dhaka,"Nov 28, 2014"
ODI # 3556,U.A.E.,Afghanistan,U.A.E.,5 wickets,ICCA Dubai,"Nov 28, 2014"
ODI # 3557,Sri Lanka,England,Sri Lanka,8 wickets,Colombo (RPS),"Nov 29, 2014"
ODI # 3558,U.A.E.,Afghanistan,U.A.E.,6 wickets,ICCA Dubai,"Nov 30, 2014"
ODI # 3559,Bangladesh,Zimbabwe,Bangladesh,5 wickets,Dhaka,"Dec 1, 2014"
ODI # 3560,U.A.E.,Afghanistan,Afghanistan,2 wickets,ICCA Dubai,"Dec 2, 2014"
ODI # 3561,Sri Lanka,England,England,5 wickets,Hambantota,"Dec 3, 2014"
ODI # 3562,U.A.E.,Afghanistan,U.A.E.,30 runs,ICCA Dubai,"Dec 4, 2014"
ODI # 3563,Sri Lanka,England,Sri Lanka,6 wickets,Colombo (RPS),"Dec 7, 2014"
ODI # 3564,New Zealand,Pakistan,Pakistan,3 wickets,Dubai (DSC),"Dec 8, 2014"
ODI # 3565,Sri Lanka,England,England,5 wickets,Pallekele,"Dec 10-11, 2014"
ODI # 3566,New Zealand,Pakistan,New Zealand,4 wickets,Sharjah,"Dec 12, 2014"
ODI # 3567,Sri Lanka,England,Sri Lanka,90 runs,Pallekele,"Dec 13, 2014"
ODI # 3568,New Zealand,Pakistan,Pakistan,147 runs,Sharjah,"Dec 14, 2014"
ODI # 3569,Sri Lanka,England,Sri Lanka,87 runs,Colombo (RPS),"Dec 16, 2014"
ODI # 3570,New Zealand,Pakistan,New Zealand,7 runs,Abu Dhabi,"Dec 17, 2014"
ODI # 3571,New Zealand,Pakistan,New Zealand,68 runs,Abu Dhabi,"Dec 19, 2014"
