Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 1497,India,West Indies,India,8 wickets,Toronto,"Sep 11, 1999"
ODI # 1498,India,West Indies,West Indies,70 runs,Toronto,"Sep 12, 1999"
ODI # 1499,India,West Indies,India,88 runs,Toronto,"Sep 14, 1999"
ODI # 1500,Pakistan,West Indies,Pakistan,15 runs,Toronto,"Sep 16, 1999"
ODI # 1501,Pakistan,West Indies,Pakistan,42 runs,Toronto,"Sep 18, 1999"
ODI # 1502,Pakistan,West Indies,Pakistan,7 wickets,Toronto,"Sep 19, 1999"
ODI # 1503,Kenya,Zimbabwe,Zimbabwe,3 wickets,Nairobi (Gym),"Sep 25, 1999"
ODI # 1504,India,South Africa,India,8 wickets,Nairobi (Gym),"Sep 26, 1999"
ODI # 1505,South Africa,Zimbabwe,South Africa,9 wickets,Nairobi (Gym),"Sep 28, 1999"
ODI # 1506,Kenya,India,India,58 runs,Nairobi (Gym),"Sep 29, 1999"
ODI # 1507,Kenya,South Africa,South Africa,24 runs,Nairobi (Gym),"Sep 30, 1999"
ODI # 1508,India,Zimbabwe,India,107 runs,Nairobi (Gym),"Oct 1, 1999"
ODI # 1509,India,South Africa,South Africa,26 runs,Nairobi (Gym),"Oct 3, 1999"
ODI # 1510,Bangladesh,West Indies,West Indies,73 runs,Dhaka,"Oct 8, 1999"
ODI # 1511,Bangladesh,West Indies,West Indies,109 runs,Dhaka,"Oct 9, 1999"
ODI # 1512,Sri Lanka,West Indies,West Indies,3 wickets,Sharjah,"Oct 13, 1999"
ODI # 1513,Pakistan,West Indies,Pakistan,130 runs,Sharjah,"Oct 14, 1999"
ODI # 1514,Pakistan,Sri Lanka,tied,,Sharjah,"Oct 15, 1999"
ODI # 1515,Sri Lanka,West Indies,Sri Lanka,9 wickets,Sharjah,"Oct 17, 1999"
ODI # 1516,Pakistan,Sri Lanka,Pakistan,118 runs,Sharjah,"Oct 18, 1999"
ODI # 1517,Pakistan,West Indies,Pakistan,138 runs,Sharjah,"Oct 19, 1999"
ODI # 1518,Zimbabwe,Australia,Australia,83 runs,Bulawayo,"Oct 21, 1999"
ODI # 1519,Pakistan,Sri Lanka,Pakistan,88 runs,Sharjah,"Oct 22, 1999"
ODI # 1520,Zimbabwe,Australia,Australia,9 wickets,Harare,"Oct 23, 1999"
ODI # 1521,Zimbabwe,Australia,Australia,9 wickets,Harare,"Oct 24, 1999"
ODI # 1522,India,New Zealand,New Zealand,43 runs,Rajkot,"Nov 5, 1999"
ODI # 1523,India,New Zealand,India,174 runs,Hyderabad (Deccan),"Nov 8, 1999"
ODI # 1524,India,New Zealand,India,14 runs,Gwalior,"Nov 11, 1999"
ODI # 1525,India,New Zealand,New Zealand,48 runs,Guwahati,"Nov 14, 1999"
ODI # 1526,India,New Zealand,India,7 wickets,Delhi,"Nov 17, 1999"
ODI # 1527,Zimbabwe,Sri Lanka,no result,,Bulawayo,"Dec 11, 1999"
ODI # 1528,Zimbabwe,Sri Lanka,Sri Lanka,13 runs,Bulawayo,"Dec 12, 1999"
ODI # 1529,Zimbabwe,Sri Lanka,Sri Lanka,98 runs,Harare,"Dec 15, 1999"
ODI # 1530,Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Harare,"Dec 18, 1999"
ODI # 1531,Zimbabwe,Sri Lanka,Zimbabwe,6 wickets,Harare,"Dec 19, 1999"
